statusesCount,followersCount,friendsCount,created,listedCount,UsuarioTwitter
14213,22267,0,2012-11-19 13:00:41,69,CodereApuestas
17331,4610,782,2011-01-07 12:29:41,77,CasinoGranMad
0,0,11,2011-08-12 08:05:20,0,Eurojuego
16612,22664,392,2008-12-18 09:37:56,209,loterias_es
16099,1177,184,2009-10-12 18:06:02,58,Suertia
20560,5521,323,2010-04-13 20:41:31,77,MARCAapuestas
6307,7983,932,2013-10-28 10:15:14,42,888pokerSpain
1239,503,98,2017-05-29 15:53:22,3,JueggingES
25570,14569,3632,2009-04-20 13:48:18,312,Betfair_ES
198,52,58,2017-03-27 15:33:33,0,BetwayES
13645,2500,268,2012-07-13 07:04:16,33,CasinoBcnES
21232,40572,564,2009-10-22 08:47:55,178,sportium
4796,759,624,2014-06-02 16:24:52,17,ebingo_es
11802,4153,376,2010-01-07 14:40:38,56,apuestasRETA
40609,187402,2617,2011-10-04 11:37:51,391,bwin_es
583,251,310,2016-11-21 16:46:42,4,Paston_es
270,159,234,2014-02-25 08:59:40,1,circus_es
22053,10950,4290,2011-07-28 13:27:40,52,GoldenPark_Esp
56267,112496,366,2011-10-26 16:26:11,258,bet365_es
1762,377,189,2015-01-31 10:53:25,20,Interwetten_Esp
368,391,198,2014-07-17 10:50:26,7,Titanbet_Espana
23433,10776,100,2012-05-15 08:43:44,128,luckia_es
6705,2649,210,2016-07-22 13:42:17,15,Marathonbet_es
166,18,45,2014-12-11 13:23:44,0,merkurmagic
2646,913,219,2013-03-19 18:16:04,6,StarCasino_ES
7467,27992,48,2011-03-04 15:25:04,190,PokerStarsSpain
12793,15062,5865,2015-08-26 08:18:21,93,wanabet_es
0,86,0,2015-02-20 14:36:19,2,planetwin365es
11714,9203,110,2012-06-21 09:32:07,83,Kirolbet_es
15835,7380,484,2012-02-20 10:04:50,87,WilliamHillES
1119,778,110,2012-06-13 14:29:17,5,Yobingo
49,53,408,2016-12-01 15:13:30,0,Casino777es
5855,1968,210,2009-03-24 09:41:35,20,botemania
1084,641,396,2012-08-08 10:00:34,6,enracha
2370,464,170,2012-05-29 07:44:55,14,BingoTombola
15612,3608,971,2010-05-22 07:16:54,38,ventura24
4939,686,183,2011-12-27 18:43:39,9,vivelasuerte
